symbol,name,category,close,prev_close,change_rate,volume,trading_value_proxy,after_hours_change_rate,premarket_change_rate,data_source,fetched_at,error
XLE,Energy Select Sector SPDR,sector_etf,55.8849983215332,57.54999923706055,-2.8931380323201306,21365616.0,1194017414.298523,,,yfinance,2026-06-15T15:10:39.260777+00:00,
XLI,Industrial Select Sector SPDR,sector_etf,179.14999389648438,176.17999267578125,1.685776673954531,2676316.0,479461995.0650635,,,yfinance,2026-06-15T15:10:39.497415+00:00,
XLB,Materials Select Sector SPDR,sector_etf,52.67499923706055,52.18000030517578,0.9486372728818582,5635123.0,296830099.72574234,,,yfinance,2026-06-15T15:10:39.724336+00:00,
XLV,Health Care Select Sector SPDR,sector_etf,153.1699981689453,153.80999755859375,-0.41609739276189384,3690296.0,565242631.5628662,,,yfinance,2026-06-15T15:10:39.921450+00:00,
IBB,iShares Biotechnology ETF,sector_etf,172.1699981689453,170.66000366210938,0.8847969497443486,209057.0,35993343.3072052,,,yfinance,2026-06-15T15:10:40.126272+00:00,
XBI,SPDR Biotech ETF,sector_etf,135.97999572753906,133.7899932861328,1.6368955462330748,2148476.0,292149757.3007202,,,yfinance,2026-06-15T15:10:40.352829+00:00,
TAN,Invesco Solar ETF,sector_etf,62.25,63.029998779296875,-1.237504036812831,579712.0,36087072.0,,,yfinance,2026-06-15T15:10:40.540607+00:00,
LIT,Global X Lithium & Battery Tech ETF,sector_etf,83.87999725341797,82.37000274658203,1.8331849659900534,167569.0,14055687.259757996,,,yfinance,2026-06-15T15:10:40.747154+00:00,
BOTZ,Global X Robotics & AI ETF,sector_etf,38.224998474121094,37.119998931884766,2.9768307490094514,236137.0,9026336.464683533,,,yfinance,2026-06-15T15:10:40.957596+00:00,
ROBO,ROBO Global Robotics ETF,sector_etf,85.35990142822266,83.0,2.8432547327983837,129512.0,11055131.553771973,,,yfinance,2026-06-15T15:10:41.176822+00:00,
NVDA,NVIDIA,stock,210.91000366210938,205.19000244140625,2.787660779104728,48558455.0,10241463921.876373,,,yfinance,2026-06-15T15:10:41.571837+00:00,
AMD,AMD,stock,551.3099975585938,511.57000732421875,7.768240840043794,13045549.0,7192141587.340515,,,yfinance,2026-06-15T15:10:41.742650+00:00,
MU,Micron,stock,1073.5999755859375,981.6099853515625,9.371338067779433,18427870.0,19784160782.10083,,,yfinance,2026-06-15T15:10:41.976679+00:00,
AVGO,Broadcom,stock,391.1400146484375,382.07000732421875,2.3739124114293686,7945247.0,3107704027.965454,,,yfinance,2026-06-15T15:10:42.162280+00:00,
TSM,Taiwan Semiconductor,stock,438.75,423.92999267578125,3.495861953686541,4258826.0,1868559907.5,,,yfinance,2026-06-15T15:10:42.388602+00:00,
ASML,ASML,stock,1881.5101318359375,1863.550048828125,0.9637564077823679,952782.0,1792668986.4309082,,,yfinance,2026-06-15T15:10:42.623234+00:00,
AAPL,Apple,stock,296.3699951171875,291.1300048828125,1.7998798291107843,12546056.0,3718274555.459961,,,yfinance,2026-06-15T15:10:42.869234+00:00,
MSFT,Microsoft,stock,399.0450134277344,390.739990234375,2.1254602551374013,11062303.0,4414356849.176666,,,yfinance,2026-06-15T15:10:43.074871+00:00,
GOOGL,Alphabet,stock,370.42999267578125,359.67999267578125,2.9887678544550322,8821522.0,3267756329.849243,,,yfinance,2026-06-15T15:10:43.386472+00:00,
META,Meta,stock,595.739990234375,566.97998046875,5.072491226559306,6153914.0,3666132666.2631836,,,yfinance,2026-06-15T15:10:43.569958+00:00,
TSLA,Tesla,stock,408.7950134277344,406.42999267578125,0.5819011378522365,16280097.0,6655222471.719818,,,yfinance,2026-06-15T15:10:43.771371+00:00,
PLTR,Palantir,stock,134.0500030517578,127.98999786376953,4.734749034403807,17103209.0,2292685218.6448517,,,yfinance,2026-06-15T15:10:43.959966+00:00,
ARM,Arm,stock,395.1400146484375,380.80999755859375,3.7630359448845185,6166435.0,2436605216.2286377,,,yfinance,2026-06-15T15:10:44.160810+00:00,
JPM,JPMorgan,stock,321.4190979003906,320.7200012207031,0.21797726272967388,2123004.0,682374030.5189209,,,yfinance,2026-06-15T15:10:44.406808+00:00,
XOM,Exxon Mobil,stock,141.39500427246094,147.00999450683594,-3.819461563284332,8950627.0,1265573942.9062042,,,yfinance,2026-06-15T15:10:44.683283+00:00,
^TNX,US 10Y Treasury Yield,macro,4.454999923706055,4.486999988555908,-0.7131728311002838,0.0,0.0,,,yfinance,2026-06-15T15:10:44.893171+00:00,
DX-Y.NYB,US Dollar Index DXY,macro,99.5250015258789,99.75,-0.22556238007127583,0.0,0.0,,,yfinance,2026-06-15T15:10:45.086589+00:00,
KRW=X,USD/KRW,macro,1512.199951171875,1517.3800048828125,-0.3413814399997661,0.0,0.0,,,yfinance,2026-06-15T15:10:45.285826+00:00,
CL=F,WTI Crude Oil,macro,80.54000091552734,84.87999725341797,-5.1130966992530835,120333.0,9691619.930168152,,,yfinance,2026-06-15T15:10:45.485675+00:00,
GC=F,Gold Futures,macro,4376.7001953125,4215.0,3.836303566132848,99702.0,436365762.8730469,,,yfinance,2026-06-15T15:10:45.644020+00:00,
^VIX,CBOE VIX,macro,16.239999771118164,17.68000030517578,-8.144799260190394,0.0,0.0,,,yfinance,2026-06-15T15:10:45.811830+00:00,
